01	Adana	14.125	2.125.635	153	322
02	Adıyaman	7.644	595.261	85	416
03	Afyonkarahisar	14.772	703.948	49	272
04	Ağrı	11.520	552.404	48	472
05	Amasya	5.702	322.283	57	358
06	Ankara	25.437	4.965.542	203	312
07	Antalya	20.909	2.092.537	101	242
08	Artvin	7.359	167.082	23	466
09	Aydın	7.943	1.006.541	128	256
10	Balıkesir	14.272	1.160.731	81	266
11	Bilecik	4.310	204.116	47	228
12	Bingöl	8.277	262.507	32	426
13	Bitlis	8.885[A]	337.253	48	434
14	Bolu	8.341	281.080	34	374
15	Burdur	7.174	254.341	37	248
16	Bursa	10.882	2.688.171	258	224
17	Çanakkale	9.995	493.691	50	286
18	Çankırı	7.490	184.406	25	376
19	Çorum	12.797	529.975	41	364
20	Denizli	11.861	950.557	81	258
21	Diyarbakır	15.272	1.592.167	106	412
22	Edirne	6.119	399.708	66	284
23	Elazığ	9.313	562.703	67	424
24	Erzincan	11.46	217.886	19	446
25	Erzurum	25.355	778.195	31	442
26	Eskişehir	13.925	789.750	57	222
27	Gaziantep	6.887	1.799.558	264	342
28	Giresun	6.831	419.555	61	454
29	Gümüşhane	6.440	135.216	21	456
30	Hakkâri	7.228	279.982	39	438
31	Hatay	5.867	1.483.674	255	326
32	Isparta	8.913	416.663	50	246
33	Mersin	15.620	1.682.848	109	324
34	İstanbul	5.313	13.854.740	2.666	212, 216[C]
35	İzmir	12.007	4.005.459	333	232
36	Kars	9.939	304.821	30	474
37	Kastamonu	13.136	359.808	27	366
38	Kayseri	17.170	1.274.968	75	352
39	Kırklareli	6.304	341.218	54	288
40	Kırşehir	6.544	221.209	35	386
41	Kocaeli	3.623	1.634.691	453	262
42	Konya	41.001	2.052.281	53	332
43	Kütahya	12.043	573.421	48	274
44	Malatya	12.146	762.366	65	422
45	Manisa	13.269	1.346.162	103	236
46	Kahramanmaraş	14.525	1.063.174	74	344
47	Mardin	8.858	773.026	88	482
48	Muğla	12.974	851.145	66	252
49	Muş	8.090	413.260	51	436
50	Nevşehir	5.407	285.190	53	384
51	Niğde	7.400	340.270	46	388
52	Ordu	5.952	741.371	125	452
53	Rize	3.919	324.152	83	464
54	Sakarya	4.878	902.267	186	264
55	Samsun	9.352	1.251.722	138	362
56	Siirt	5.499	310.879	57	484
57	Sinop	5.805	201.311	35	368
58	Sivas	28.619	623.535	22	346
59	Tekirdağ	6.339	852.321	135	282
60	Tokat	10.073	613.990	62	356
61	Trabzon	4.662	757.898	162	462
62	Tunceli	7.705	86.276	12	428
63	Şanlıurfa	19.451	1.762.075	94	414
64	Uşak	5.382	342.269	64	276
65	Van	21.334[A]	1.051.975	55	432
66	Yozgat	14.097	453.211	32	354
67	Zonguldak	3.306	606.527	184	372
68	Aksaray	7.997	379.915	50	382
69	Bayburt	3.741	75.797	20	458
70	Karaman	8.924	235.424	27	338
71	Kırıkkale	4.575	274.727	61	318
72	Batman	4.680	534.205	115	488
73	Şırnak	7.203	430.109	65	486
74	Bartın	2.079	188.436	91	378
75	Ardahan	5.156	106.643	22	478
76	Iğdır	3.546	190.409	53	476
77	Yalova	850	211.799	250	226
78	Karabük	4.103	225.145	55	370
79	Kilis	1.444	124.320	87	348
80	Osmaniye	3.215	492.135	158	328
81	Düzce	2.574	346.493	135	380
